Round,Day,Date,Time,Home Team,Home Score,Result,Away Team,Away Score,Venue,Attendance
Round 1,Thursday,16 March,7:20 pm,Richmond ,8.10 (58),drew with,Carlton ,8.10 (58),Melbourne Cricket Ground ,"88,084"
Round 1,Friday,17 March,7:40 pm,Geelong ,16.7 (103),def. by,Collingwood ,19.11 (125),Melbourne Cricket Ground ,"86,595"
Round 1,Saturday,18 March,1:45 pm,North Melbourne ,12.15 (87),def.,West Coast ,12.10 (82),Marvel Stadium ,"21,274"
Round 1,Saturday,18 March,4:05 pm,Port Adelaide ,18.18 (126),def.,Brisbane Lions ,11.6 (72),Adelaide Oval ,"34,255"
Round 1,Saturday,18 March,7:25 pm,Melbourne ,17.13 (115),def.,Western Bulldogs ,9.11 (65),Melbourne Cricket Ground ,"48,103"
Round 1,Saturday,18 March,7:00 pm,Gold Coast ,9.7 (61),def. by,Sydney ,16.14 (110),Heritage Bank Stadium ,"13,648"
Round 1,Sunday,19 March,1:10 pm,Greater Western Sydney ,15.16 (106),def.,Adelaide ,12.18 (90),Giants Stadium ,"8,169"
Round 1,Sunday,19 March,3:20 pm,Hawthorn ,9.11 (65),def. by,Essendon ,19.10 (124),Melbourne Cricket Ground ,"68,691"
Round 1,Sunday,19 March,4:40 pm,St Kilda ,10.7 (67),def.,Fremantle ,7.10 (52),Marvel Stadium ,"23,429"
Round 2,Thursday,23 March,7:20 pm,Carlton ,13.12 (90),def.,Geelong ,12.10 (82),Melbourne Cricket Ground ,"55,861"
Round 2,Friday,24 March,6:55 pm,Brisbane Lions ,14.9 (93),def.,Melbourne ,13.4 (82),The Gabba ,"30,047"
Round 2,Saturday,25 March,1:45 pm,Collingwood ,21.9 (135),def.,Port Adelaide ,9.10 (64),Melbourne Cricket Ground ,"60,744"
Round 2,Saturday,25 March,4:05 pm,Adelaide ,10.16 (76),def. by,Richmond ,17.6 (108),Adelaide Oval ,"38,492"
Round 2,Saturday,25 March,7:25 pm,Western Bulldogs ,5.11 (41),def. by,St Kilda ,14.8 (92),Marvel Stadium ,"33,294"
Round 2,Saturday,25 March,4:30 pm,Fremantle ,10.12 (72),def. by,North Melbourne ,11.7 (73),Optus Stadium ,"40,487"
Round 2,Sunday,26 March,1:10 pm,Sydney ,17.16 (118),def.,Hawthorn ,4.13 (37),Sydney Cricket Ground ,"37,052"
Round 2,Sunday,26 March,3:20 pm,Essendon ,16.12 (108),def.,Gold Coast ,11.14 (80),Marvel Stadium ,"32,915"
Round 2,Sunday,26 March,3:20 pm,West Coast ,14.16 (100),def.,Greater Western Sydney ,11.15 (81),Optus Stadium ,"44,649"
Round 3,Thursday,30 March,7:20 pm,Western Bulldogs ,10.7 (67),def.,Brisbane Lions ,7.11 (53),Marvel Stadium ,"23,665"
Round 3,Friday,31 March,7:50 pm,Collingwood ,8.15 (63),def.,Richmond ,7.7 (49),Melbourne Cricket Ground ,"85,241"
Round 3,Saturday,1 April,1:45 pm,Hawthorn ,11.14 (80),def.,North Melbourne ,9.7 (61),University of Tasmania ,"11,007"
Round 3,Saturday,1 April,4:35 pm,Greater Western Sydney ,9.10 (64),def. by,Carlton ,9.20 (74),Giants Stadium ,"9,691"
Round 3,Saturday,1 April,7:25 pm,St Kilda ,14.8 (92),def.,Essendon ,11.8 (74),Melbourne Cricket Ground ,"69,255"
Round 3,Saturday,1 April,7:30 pm,Port Adelaide ,13.8 (86),def. by,Adelaide ,18.9 (117),Adelaide Oval ,"48,962"
Round 3,Sunday,2 April,2:10 pm,Gold Coast ,10.13 (73),def.,Geelong ,7.12 (54),Heritage Bank Stadium ,"13,122"
Round 3,Sunday,2 April,3:20 pm,Melbourne ,21.8 (134),def.,Sydney ,12.12 (84),Melbourne Cricket Ground ,"42,423"
Round 3,Sunday,2 April,3:20 pm,Fremantle ,16.12 (108),def.,West Coast ,9.13 (67),Optus Stadium ,"56,090"
Round 4,Thursday,6 April,7:35 pm,Brisbane Lions ,18.8 (116),def.,Collingwood ,11.17 (83),The Gabba ,"33,565"
Round 4,Friday,7 April,4:20 pm,North Melbourne ,11.18 (84),def. by,Carlton ,16.11 (107),Marvel Stadium ,"49,062"
Round 4,Saturday,8 April,1:15 pm,Adelaide ,17.9 (111),def.,Fremantle ,10.12 (72),Adelaide Oval ,"33,725"
Round 4,Saturday,8 April,4:35 pm,Richmond ,12.12 (84),def. by,Western Bulldogs ,12.17 (89),Melbourne Cricket Ground ,"56,449"
Round 4,Saturday,8 April,7:30 pm,Sydney ,9.10 (64),def. by,Port Adelaide ,9.12 (66),Sydney Cricket Ground ,"31,686"
Round 4,Saturday,8 April,7:30 pm,St Kilda ,17.11 (113),def.,Gold Coast ,8.12 (60),Marvel Stadium ,"21,049"
Round 4,Sunday,9 April,2:10 pm,Essendon ,11.22 (88),def.,Greater Western Sydney ,11.9 (75),Marvel Stadium ,"28,815"
Round 4,Sunday,9 April,3:20 pm,West Coast ,9.9 (63),def. by,Melbourne ,19.12 (126),Optus Stadium ,"42,458"
Round 4,Monday,10 April,3:20 pm,Geelong ,19.13 (127),def.,Hawthorn ,6.9 (45),Melbourne Cricket Ground ,"65,335"
Round 5,Thursday,13 April,7:10 pm,Adelaide ,18.10 (118),def.,Carlton ,9.8 (62),Adelaide Oval ,"47,395"
Round 5,Friday,14 April,4:40 pm,Gold Coast ,13.12 (90),def. by,Fremantle ,15.10 (100),Norwood Oval ,"9,329"
Round 5,Friday,14 April,7:40 pm,Sydney ,18.14 (122),def.,Richmond ,11.12 (78),Adelaide Oval ,"42,134"
Round 5,Saturday,15 April,12:40 pm,North Melbourne ,12.5 (77),def. by,Brisbane Lions ,22.20 (152),Adelaide Oval ,"7,329"
Round 5,Saturday,15 April,7:20 pm,Port Adelaide ,10.10 (70),def.,Western Bulldogs ,8.8 (56),Adelaide Oval ,"45,115"
Round 5,Sunday,16 April,12:40 pm,West Coast ,13.11 (89),def. by,Geelong ,21.10 (136),Adelaide Oval ,"30,120"
